description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento 2 Quartos Com Suíte e Armários. Garagem Coberta! Centro Urbano;-;['90'];[2];[1];[2];[1];315000;520;600;-
Apartamento para Venda em Brasília, Guará II, 2 dormitórios, 1 banheiro;-;['56'];[2];[0];[1];[0];140000;-;0;-
URGENTE!! ATENÇÃO! ÁGIO de Apto 3Quartos! Via Araguaia! Não exige transferência! 82m²! Confira!;-;[];[3];[1];[2];[1];129900;0;0;-
Cobertura Duplex 2 Quartos, Samambaia Norte;-;['91'];[2];[0];[2];[1];569000;500;-;-
Apartamento 2 quartos - 60 metros em Águas Claras-Brasilia/DF;-;['70'];[2];[1];[2];[1];380000;470;700;-
Apartamento para venda tem 65 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;-;['65'];[2];[];[1];[1];180000;380;500;-
Vendo excelente apart 3 qts send 1 suite 2 vaga de garagem coberta cha 89 av principal de Árniqueira;-;['90'];[3];[1];[2];[2];209000;0;1;-
Apto quitado setor central Gama DF;-;['90'];[2];[1];[1];[1];385000;0;0;-
Apartamento de 1 Quarto em Águas Claras;-;['30'];[1];[];[1];[1];250000;340;520;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;-;['48'];[2];[0];[1];[1];245000;317;520;-
Apartamento com 2 dormitórios à venda, 57 m² por R$ 290.000,00 - Vicente Pires - Vicente Pires/DF;-;['57'];[2];[1];[2];[0];290000;0;0;-
Apto de 02 quartos Gama Setor Central;-;[];[2];[0];[1];[1];165000;240;500;-
Apartamento de 3 quartos, suíte e armários planejados;-;[];[3];[1];[2];[0];220000;-;-;-
JÓIA RARA - SQNW 111 - 3 Suítes - 161 m²;-;['239'];[3];[3];[5];[3];2300000;0;0;-
Excelente Apartamento! 03 Quartos, 68m2, Prox. Metrô, Res. Mônaco, Samambaia Sul - R$ 230.000,00;-;[];[3];[];[1];[1];250000;-;0;-
Apartamento para venda com 2 quartos em Ceilândia Norte - Brasília - DF;-;[];[2];[0];[1];[1];219000;0;0;-
Edifício Stendhal (SQN 309 Bloco L, Asa Norte - Brasília/DF);-;['152'];[4];[1];[3];[1];1790000;1238;2975;-
Residencial Residencial Tópazio Qs 519 - 2 quartos - Andar Alto;-;['54'];[2];[0];[1];[2];235000;290;500;-
Apartamento 3 quartos,1 suíte,2 vagas à venda,96m²- SGCVS Park Sul - Brasília – DF;-;[];[3];[1];[3];[2];1480000;1290;130;-
Apartamento de 50 m² com 2 quartos em Guará II - Brasília - DF;-;[];[2];[0];[1];[0];120000;150;450;-
apartamento mobiliadom, com armários, garagem;-;[];[1];[];[1];[1];280000;315;113;-
VENDO LINDO APARTAMENTO COM 3 SUÍTES, NO CONDOMÍNIO RIVIERA DEI FIORI, ÁGUAS CLARAS;-;[];[3];[3];[5];[3];1590000;-;-;-
Apartamento Reformado 2 Quartos em Samambaia Sul;-;['45'];[2];[0];[1];[1];210000;500;-;-
Cobertura com hidromassagem 3 quartos sendo 1 suíte, Aguas Claras - Aceita Financiamento;-;['187'];[3];[1];[2];[2];735000;850;-;-
3 quartos com 3 suítes águas claras;-;['75'];[3];[3];[3];[1];600000;580;0;-
Apartamento para Venda em Brasília, Grande Colorado (Sobradinho) Condomínio Jardim Europa;-;['55'];[2];[1];[1];[];170000;-;-;-
Lindo apartamento 112m² c/ 03 quartos e 2 vagas de garagem - Edificio Vivian Valois - Águas Claras;-;['112'];[3];[1];[1];[1];980000;900;1500;-
Apartamento de 1 quarto à venda no Edifício DUE MURANO, na SQNW 307 – Noroeste/DF, com vaga de garag;-;['88'];[1];[0];[1];[1];635000;512;1511;-
Apartamento a Venda 39m2 Frente Parque Aguas Claras;-;[];[1];[];[1];[1];290000;0;0;-
Apartamento para venda tem 60 metros quadrados com 2 quartos;-;['65'];[2];[0];[1];[1];160000;-;-;-
Apartamento para venda com 86 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;-;['86'];[2];[1];[3];[1];1300000;1;1;-
Maravilhoso apartamento de 4 quartos Taguatinga Norte;-;['272'];[4];[0];[5];[4];795000;1400;375;-
Apartamento para venda com 78 m², 2 quartos, rico em planejados, com varanda, nascente alto.;-;[];[2];[0];[1];[1];360000;250;650;-
Apartamento para venda com 83 metros quadrados com 2 quartos em Norte - Brasília - DF;-;[];[2];[0];[2];[0];520000;474;0;-
Apartamento 2 Quartos Com Garagem Centro de Samambaia! Próximo ao Metrô!;-;['80'];[2];[0];[1];[1];235000;302;280;-
Ágio de Apartamento no Riacho Fundo 2;-;[];[3];[1];[1];[1];55000;-;-;-
Apartamento para venda, 1 andar, com 2 quartos sendo 1 suite, DF-425, Sobradinho/DF;-;['60'];[3];[1];[1];[];160000;-;-;-
Green Towers Condominio Resort Águas Claras;-;['100'];[3];[1];[2];[2];842000;-;-;-
Apartamento no Paranoá parque quadra 3;-;['46'];[2];[0];[1];[0];80000;-;-;-
Vendo excelente apartamento de 1 quarto QN 412 Samambaia Norte - Brasília - DF;-;['30'];[1];[1];[1];[1];130000;400;45;-
Apartamento Cobertura Duplex 3 Quartos ao Lado do Metrô! Aceita Financiamento!;-;['100'];[3];[1];[2];[1];390000;514;543;-
Apartamento 2 qrts pelo programa casa verde e amarela;-;[];[2];[0];[1];[1];183000;0;0;-
Ade Aguas Claras;-;['60'];[2];[];[2];[0];105000;0;60;-
3 QUARTOS RESIDENCIAL ESPLANADA - VISTA LIVRE FLORESTA;-;['62'];[3];[1];[2];[1];405000;0;0;-
Financiamento imobiliário!;-;['47'];[2];[];[1];[1];136000;0;0;-
Vicente Pires Rua 10, apto 2 qts, 4 andar 55m, só 135mil oportunidade;-;['55'];[2];[0];[1];[0];135000;-;-;-
Qi 07 3 Quartos + DCE;-;['102'];[3];[0];[2];[1];619000;655;870;-
Idealle 3qts suíte varanda 2 vagas aceita lote 1000mts Ponte Alta;-;['85'];[3];[1];[3];[2];520000;550;900;-
Cobertura Duplex para venda com 90 metros quadrados com 3 quartos em Norte - Brasília - DF;-;['90'];[3];[1];[1];[1];840000;940;0;-
Apartamento para venda com128 m², com 3 quartos em Aguas Claras Norte - Brasília - DF;-;['128'];[3];[2];[3];[3];1339623;-;850;-
Sonho Verde - 116M² Lazer , Ao lado Sigma por R$ 855.900 - Águas Claras Sul -;-;['116'];[3];[1];[4];[2];855900;600;0;-
"EXCELENTE Apartamento 2 quartos 3"" andar 54m2 rua 12 Vicente pires(sem elevador sem garagem)confira";-;['54'];[2];[0];[1];[0];130000;-;-;-
APARTAMENTO 3 QUARTOS EM AGUAS CLARS;-;['84'];[3];[2];[3];[1];580000;540;-;-
Apartamento 3 Quartos Cruzeiro Novo !!! 480.000 !!!;-;['112'];[3];[];[2];[];480000;0;0;-
Apartamento para Venda em Brasília, Norte (Águas Claras), 3 dormitórios, 1 suíte, 3 banheiros, 1 vag;-;['96'];[3];[1];[3];[1];612000;650;1000;-
OPORTUNIDADE!NOVO!2QUARTOS,SUITE,PERTINHO DO PARQUE ECOLÓGICO, FÁCIL ACESSO PELO PARK WAY;-;['75'];[2];[1];[2];[1];385000;45600;-;-
Apartamento para venda tem 67 m2 com 1 quarto, sala, em Setor Noroeste - Brasília - DF;-;[];[1];[1];[2];[2];599165;633;1392;-
Apartamento aconchegante, todo reformado, de 3 quartos, na SQS 106 Sul - Brasília - DF;-;['151'];[3];[1];[3];[0];1680000;1500;3000;-
Apartamento para venda com 57 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;-;['83'];[2];[0];[1];[1];580000;470;1082;-
West Side Lindo 2 Quartos - Reformado c/ Armários Planejados (Vaga Coberta);-;['58'];[2];[1];[2];[1];220000;380;550;-
Maravilhoso! Quadradoimob.com vende com Exclusividade! Ligue Agora.;-;['88'];[2];[0];[1];[0];849000;470;1177;-
Apartamento no Noroeste;-;['74'];[2];[];[2];[1];970000;0;0;-
Apartamento nascente na Qd. 301, 53m de 2 quartos, Viver Melhor em Samambaia Sul, DF;-;[];[2];[1];[2];[1];257000;480;600;-
Ap 1 ou 2 quartos, vantagens pelo programa casa verde e amarela;-;['54'];[2];[0];[1];[1];176600;200;100;-
Belíssimo apartamento 03 quartos Samambaia Sul;-;[];[3];[1];[2];[1];320000;-;-;-
Excelente apartamento no Altos 2 de Taguatinga 3Qrts andar alto 410mil;-;['64'];[3];[1];[2];[1];410000;-;-;-
Ap Rua 10, ✔2 quartos, ✔1 vaga ✔Elevador, ✔Móveis Planejados, 48m2, Vicente Pires-DF.;-;['48'];[2];[0];[1];[1];250000;200;0;-
Vendo Espaçoso 2 Quartos com 74m²;-;['85'];[2];[1];[2];[1];180000;0;1;-
"Apartamento na Sqs 413 a venda; 57 m² Privativos; Bem conservado; 2 quartos e 2 WCs";-;[];[2];[0];[2];[0];415000;0;0;-
Apartamento para venda com 2 quartos;-;['55'];[2];[];[1];[];220000;-;-;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;['80'];[2];[0];[1];[1];210000;360;0;-
Aguas Claras 4 qts, 132m2 muito bem localizado qd. 104 Res Paradiso;-;['132'];[4];[1];[3];[1];840000;0;0;-
Duplex para venda com 51 metros quadrados com 1 quarto em Zona Industrial - Brasília - DF;-;['51'];[1];[1];[1];[1];780000;0;0;-
Apartamento de 30 m² com 1 quarto, cozinha americana - ADE - Águas Claras;-;['30'];[1];[0];[1];[0];80000;70;0;-
Apartamento COBERTURA 2 quartos com suíte;-;[];[2];[1];[2];[3];339012;0;0;-
Ágio de apartamento na EQNN 23/25 de 02 quartos, só 49.900;-;['75'];[2];[];[1];[];35000;0;0;-
Apartamento à venda de 2 quartos, no Setor Hab. Contagem - Sobradinho/DF;-;['59'];[2];[0];[1];[0];180000;100;0;-
2 quartos Viviane Rinaldi, Aguas Claras, Rua 25 Norte;-;['57'];[2];[1];[2];[1];489000;400;890;-
Edifício Maison D'or (SQN 310 Bloco B, Asa Norte - Brasília/DF);-;['136'];[4];[1];[3];[1];1550000;850;2170;-
Apartamento cobertura Duplex com 3 quartos, 173m², para venda em Águas Claras. Ed. Centrale;-;['173'];[3];[2];[4];[1];1050000;1057;301;-
Agio de apto. 3 Quartos 72m2, 2 Vagas - Res. Montana bloco A - Águas Claras;-;[];[3];[1];[2];[2];123000;0;0;-
APARTAMENTO NA SQN 404 ASA NORTE;-;['75'];[3];[0];[2];[];730000;350;1416;-
Real lê parc 2 QUARTOS com suite;-;['79'];[2];[1];[2];[2];174975;0;0;-
APARTAMENTO, 3 QUARTOS, VAZADO, CRUZEIRO NOVO;-;['66'];[3];[0];[1];[0];460000;460;75;-
Apartamento 4 quartos com 3 Suítes e 3 Vagas! Alto Padrão! Residencial Via Majestic!;-;['170'];[4];[3];[5];[3];1620000;1180;2000;-
Apartamento para venda possui 84 metros quadrados com 2 quartos;-;['84'];[2];[1];[2];[1];350000;0;0;-
Apartamento para venda possui 60 metros quadrados com 2 quartos;-;[];[2];[];[1];[];190000;0;0;-
Vende-se Apt 2 Quartos 1 Suíte Terra Nova (Superbom) - Riacho Fundo 01;-;[];[2];[1];[2];[1];320000;395;-;-
Apartamento 1 quarto com 35m em Taguatinga Sul vaga coberta A\C financiamento;-;['50'];[1];[1];[1];[1];185000;300;500;-
APARTAMENTO 2 QUARTOS 60M² SUDOESTE;-;['80'];[2];[];[1];[];585000;569;-;-
Asa Norte, apartamento 29 m2, 1 quarto, banheiro, elevador.;-;['33'];[1];[0];[1];[1];365000;404;745;-
Lazer completo, podendo ser 1 ou 2 quartos, muitas facilidades na entrada;-;['57'];[1];[1];[1];[1];175500;200;100;-
RES. SONHO VERDE 116 M² / 3 QTOS+DCE / 2 GAR / LAZER;-;['140'];[3];[1];[4];[2];935000;756;1548;-
Excelente apartamento no residencial Pratic Homen CSB 10 , 2Q 1 suíte 59m.;-;['60'];[2];[1];[2];[1];430000;0;0;-
Espetacular 01 Quarto 46 M² Aguas claras!!!!!! R$ 390.000,00 Muitos armários Reformado;-;['71'];[1];[0];[1];[1];390000;450;600;-
Apartamento para venda com 58 m² super reformado com 2 quartos, em Águas Claras - Brasília - DF;-;['75'];[2];[1];[2];[1];499000;532;-;-
Apartamento 1 Quarto com vaga coberta e lazer completo, Resid Viver Melhor Samambaia;-;[];[1];[];[1];[1];174900;350;0;-
Apartamento com 2 dormitórios à venda, 54 m² por R$ 240.000,00 - Vicente Pires - Vicente Pires/DF;-;['54'];[2];[1];[2];[0];240000;0;0;-
QUADRA 301 AGUAS CLARAS COBERTURA - RES CANAAN PORTELA;-;['120'];[3];[1];[2];[2];640000;520;67;-
Apartamento para venda com 1 quarto em Núcleo Bandeirante - Brasília - DF;-;['30'];[1];[1];[1];[0];140000;85;300;-
Apartamento para venda tem 48 metros quadrados com 2 quartos em Guará II - Brasília - DF;-;['48'];[2];[];[1];[3];120000;-;0;-
Apartamento a venda em Nova colina, Sobradinho/DF com 01 quarto e garagem.;-;['40'];[1];[];[1];[1];80000;-;-;-
ASA NORTE - SQN 310 - APTO 2 QUARTOS;-;['84'];[2];[0];[2];[0];730000;490;0;-
Apartamento 3 quartos para venda;-;['77'];[3];[1];[2];[];190000;-;-;-
Apartamento para venda com 188 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[3];[5];[3];898221;0;0;-
lindo apartamento de 01 quarto;-;['44'];[1];[1];[1];[1];288000;290;1;-
Apartamento com 4 dormitórios à venda, 308 m² por R$ 1.380.000,00 - Águas Claras - Águas Claras/DF;-;['30804'];[4];[3];[6];[0];1380000;866;1944;-
QR 212 2 QUARTOS- PRONTO PARA MORAR próximo ao metrô Samambaia Sul;-;[];[2];[0];[1];[1];280754;0;0;-
CNB 5 LINDO APARTAMENTO 3 QUARTOS COM DCE.;-;[];[2];[];[2];[1];260000;450;-;-
Apartamento para venda com 79 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[1];[2];[1];660000;500;980;-
Cruzeiro Novo | Apartamento 3 quartos, sendo 1 suite;-;['63'];[3];[1];[2];[1];595000;455;670;-
Linda cobertura em Vicente Pires;-;['150'];[3];[0];[3];[1];780000;250;-;-
Apartamento 2 quartos venda Núcleo Bandeirante;-;['60'];[2];[];[1];[];197000;345;85;-
Apartamento para venda com 158 metros quadrados com 4 quartos em Sul - Brasília - DF;-;[];[4];[2];[3];[3];1416588;0;0;-
Apartamento duplex com 4 suítes , em Águas Claras (Sul) com 245 m² no Premiere;-;[];[4];[4];[6];[4];1990000;0;0;-
Apto com 2 Quartos, Vaga de Garagem Coberta e Varanda;-;['80'];[2];[0];[1];[1];225000;421;330;-
1 ou 2 quartos, minutos facilidade, lazer completo;-;['56'];[2];[0];[1];[1];174500;220;140;-
Apartamento para venda com 92 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[1];[3];[1];670000;800;1650;-
CSG 04 TAGUATINGA SUL AGIO R$ 53.000,00 APARTAMENTO DE QUARTO.;-;[];[1];[1];[1];[1];53000;150;0;-
Apartamento 2 Quartos (Suíte + Closet) + Cozinha c/ Armários + Varanda | Quadra 02;-;['65'];[2];[1];[2];[1];510000;-;-;-
Apartamento ultimo andar para venda duas vagas possui 129 M² com 3 quartos em Sul - Brasília - DF ..;-;['153'];[3];[2];[3];[2];1150000;740;0;-
Excelente Apartamento! 03 Quartos, 68m2, Prox. Metrô, Res. Mônaco, Samambaia - R$ 230.000,00;-;[];[3];[];[1];[1];250000;0;0;-
Apartamento para venda possui 86 metros quadrados com 2 quartos;-;['86'];[2];[];[1];[1];350000;-;-;-
Apartamento para venda com 50 metros quadrados com 2 quartos em Riacho Fundo II - Brasília - DF;-;['50'];[2];[0];[1];[1];160000;373;0;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;['49'];[2];[0];[1];[1];224000;485;700;-
Apartamento para venda com 168 metros quadrados com 2 quartos em Asa Sul - Brasília - DF;-;['169'];[2];[1];[2];[3];339012;0;0;-
Apartamento para venda possui 69 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[1];[2];[1];420000;400;1200;-
Vendo apt 3 qts/suite CSD 04 Vila Matias- Tag Sul-DF;-;['80'];[3];[1];[1];[0];180000;0;0;-
Apartamento de 2 Quartos no condomínio novo horizonte Sobradinho;-;['60'];[2];[1];[1];[0];219000;-;-;-
Apartamento para venda possui 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];590223;0;0;-
Apartamento para venda tem 158 metros quadrados com 4 quartos em Sul - Brasília - DF;-;[];[4];[2];[3];[3];1416015;0;0;-
Apartamento 71m2 - Residencial Parque das Águas - Águas Claras;-;[];[3];[2];[3];[1];620000;590;0;-
RDS vende apt planejado Ed Champs Elysses;-;[];[2];[0];[1];[1];185000;320;0;-
SQN 416 REFORMADO, VAZADO;-;['62'];[3];[0];[2];[0];620000;518;196;-
Ap pode fazer 1 ou 2 quartos muitas facilidades na compra, veja como;-;['33'];[1];[0];[1];[0];174500;200;100;-
Apartamento para venda tem 40 metros quadrados com 2 quartos;-;['40'];[2];[0];[1];[0];160000;-;-;-
APARTAMENTO C/VARANDA 3' ANDAR 2 QUARTOS 70m ELEVADOR GARAGEM RUA 3 VICENTE PIRES COZINHA C/ARMÁRIOS;-;['70'];[2];[0];[1];[1];270000;-;-;-
Apartamento 1 quarto com garagem - QS 320 Aceita Financiamento e FGTS;-;['42'];[1];[1];[1];[1];159000;350;150;-
NASCENTE + VISTA LIVRE + REFORMADO! RESIDENCIAL INGRID, QUADRA 205, ÁGUAS CLARAS;-;['58'];[2];[1];[2];[1];549000;0;0;-
APARTAMENTO DESOCUPADO, TOTAL VILLE QUADRA 101, AO LADO DO COMÉRCIO.;-;[];[2];[1];[1];[1];131000;0;0;-
QN 410 Prédio 6 apartamentos Samambaia;-;['400'];[2];[];[1];[5];1100000;-;-;-
Apartamento para venda tem 39 metros quadrados com 1 quarto em Asa Norte - Brasília - DF;-;['39'];[1];[];[1];[];245000;0;0;-
ARMÁRIOS + VAZADO + LOCALIZAÇÃO PRIVILEGIADA! SQN 116, ASA NORTE;-;['100'];[3];[1];[3];[1];1100000;0;0;-
Edifício Monte Pascoal (SQN 110 Bloco K, Asa Norte - Brasília/DF);-;['190'];[4];[2];[5];[2];2390000;2300;3400;-
Apartamento para venda tem 77 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;-;['129'];[2];[1];[3];[1];877000;1100;2500;-
Apartamento para venda tem 52 metros quadrados com 2 quartos em Riacho Fundo II - Brasília - DF;-;[];[2];[0];[1];[0];85000;0;0;-
Apartamento de 26m² com 1 quarto + 26m² de área privativa em Riacho Fundo II - Brasília - DF;-;['52'];[1];[0];[1];[0];115000;0;0;-
Apartamento para venda possui 68 m² com 3 quartos em Samambaia Sul - Brasília - DF;-;[];[3];[1];[2];[1];420000;0;0;-
Residencial Cervantes Águas Claras - Cobertura 4 quartos, vista livre e 2 vagas de garagem. Aparta;-;['196'];[3];[2];[4];[2];874999;999;-;-
Plano Piloto - Apartamento Padrão - Asa Norte;-;['103'];[3];[1];[3];[1];989000;1000;-;-
Apartamento para venda possui 64 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;-;['75'];[2];[0];[1];[0];610000;480;1300;-
2 Quartos com Armários no Itamaraty - vista livre floresta+ armários planejados;-;['48'];[2];[0];[1];[1];280000;0;0;-
Vicente Pires 2 quartos apartamento grande espaçoso bem localizado prédio bom;-;['61'];[2];[0];[1];[0];129000;0;0;-
Apartamento Duplex para Venda em Brasília, Norte (Águas Claras), 3 dormitórios, 1 suíte, 2 banheiros;-;['122'];[3];[1];[2];[2];1150000;-;0;-
Apartamento 2 quartos até 100% financiado;-;['33'];[2];[0];[1];[1];177000;-;-;-
Ilha de Sardenha Águas Claras - 3 quartos, sendo: 1 suíte, totalmente reformado. 1 vaga de garagem e;-;['105'];[3];[1];[2];[1];779999;680;750;-
Venda Apartamento 1 quarto Asa Norte Brasília;-;['38'];[1];[0];[1];[0];310000;250;124;-
Apartamento 3 quartos reformado e mobiliado 71m², no Residencial Parque das Águas;-;['113'];[3];[2];[3];[1];650000;750;300;-
APARTAMENTO LINDO | 3 QTS | 93M² | ÁGUAS CLARAS;-;['93'];[3];[2];[3];[2];875000;1;1;-
Apartamento com 2 dormitórios à venda, 52 m² por R$ 170.000,00 - Vicente Pires - Vicente Pires/DF;-;['52'];[2];[0];[1];[0];170000;0;0;-
Cobertura duplex 382 m² c/ 4 suítes - 4 vagas - Amplo terraço c/ piscina e área de lazer - Noroeste;-;[];[4];[4];[7];[4];5142230;-;-;-
Apartamento para venda com 58 metros otimo ap qdr quadrados com 2 quartos;-;['62'];[2];[0];[1];[0];230000;-;-;-
Apartamento 2 Quartos sendo 1 suíte;-;[];[2];[1];[2];[1];360000;-;-;-
SÓ 540 MIL / 02 QUARTOS + DCE / 74 M² / LAZER COMPL.;-;['86'];[2];[1];[2];[1];540000;778;-;-
APARTAMENTO RESIDENCIAL em BRASÍLIA - DF, NORTE (ÁGUAS CLARAS);-;['33'];[1];[1];[1];[1];1400;-;291;-
Apartamento com2 quartos, varanda, garagem, 80m2, armários , ar condicionado;-;[];[2];[0];[1];[1];350000;-;-;-
OPORTUNIDADE EXCLUSIVA EM SAMAMBAIA SUL – QN 512 RESIDENCIAL FENIX;-;['70'];[2];[];[1];[1];260000;300;375;-
Apartamento com 2 dormitórios à venda, 80 m² por R$ 360.000,00 - Vicente Pires - Vicente Pires/DF;-;['80'];[2];[0];[1];[1];360000;0;0;-
Ap de 3 Quartos de 60m² planejado e no porcelanato (Melhor Condominio da Região) (Faça Proposta);-;[];[3];[1];[2];[1];260000;360;0;-
Apartamento com 1 dormitório à venda, 36 m² por R$ 435.000,00 - Lago Norte - Brasília/DF;-;['36'];[1];[0];[1];[1];435000;300;0;-
Apartamento para venda com 46 metros quadrados com 1 quarto em Sul - Brasília - DF;-;[];[1];[1];[1];[1];356000;407;720;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Asa Sul - Brasília - DF;-;[];[1];[0];[1];[0];340000;380;680;-
Samambaia Residencial Évora - Andar intermediario, 3 quartos, 64 m², 1 suite, 1 banheiro social, 1 v;-;['82'];[3];[1];[1];[1];319999;545;0;-
Residencial Via Windsor (SQN 213 Bloco G, Asa Norte - Brasília/DF);-;['268'];[4];[4];[6];[3];3890000;2390;4305;-
Vendo apartamento 03 quartos, 1 suíte, 104m², Vista Livre, Rua 26 Norte, Águas Claras-DF;-;['167'];[3];[1];[2];[1];699000;540;0;-
ANDAR ALTO – 03 QUARTOS - 01 SUÍTE – 01 VAGA DE GARAGEM – VISTA LIVRE;-;['95'];[3];[1];[3];[1];1300000;0;0;-
Apartamento para venda possui 126 metros quadrados com 3 quartos em Setor Noroeste - Brasília - DF;-;[];[3];[1];[3];[2];1880000;0;0;-
Apartamento de 2 Quartos em Taguatinga com Suíte - Lazer -Reformado e Planejado;-;['56'];[2];[1];[2];[1];360000;0;0;-
Apartamento à venda 74m², 1 quarto c/suíte, andar alto, vista livre, Rua 30 Sul Águas Claras - DF;-;['74'];[1];[1];[2];[1];560000;0;0;-
LINDO DUPLEX DE 04 SUÍTES E 04 VAGAS DE GARAGEM - ÁGUAS CLARAS SUL;-;['407'];[4];[4];[6];[4];2119500;1788;2398;-
Apartamento para venda com 129 metros quadrados com 4 quartos em Sul - Brasília - DF;-;['152'];[4];[2];[3];[2];1150000;750;1380000;-
Sergio Soares vende: Apartamento, ED. Porto Seguro, Setor Central, Gama.;-;['55'];[2];[0];[1];[1];210000;350;210;-
Apartamento para venda com 2 quartos;-;['42'];[2];[];[1];[];150000;262;-;-
Apartamento 2 qrts com até zero de entrada;-;[];[2];[0];[1];[1];183000;0;0;-
Apartamento com preços diferenciado;-;[];[2];[0];[1];[1];180000;0;0;-
